QTD,ID_PLANO_CONTA,PLANO_CONTA,TOTAL_MES,ANO,MES,CODIGOSELO,IDCARTORIO,COMARCA
2,6,Assessoria Contábil,8121,2026,01,G2,106,17
2,6,Assessoria Contábil,6278,2026,01,A1,6,1
2,6,Assessoria Contábil,5800,2026,01,K1,145,5
1,6,Assessoria Contábil,5500,2026,01,C4,32,5
1,6,Assessoria Contábil,5407.25,2026,01,G7,78,19
2,6,Assessoria Contábil,4395,2026,01,J9,144,12
2,6,Assessoria Contábil,3840,2026,01,D7,80,11
1,6,Assessoria Contábil,3806,2026,01,B5,20,4
1,6,Assessoria Contábil,3795,2026,01,K2,146,1
2,6,Assessoria Contábil,3286,2026,01,K5,151,4
1,6,Assessoria Contábil,3036,2026,01,B6,22,4
1,6,Assessoria Contábil,3000,2026,01,G8,110,19
1,6,Assessoria Contábil,2765,2026,01,A8,11,17
2,6,Assessoria Contábil,2666.06,2026,01,B7,23,4
1,6,Assessoria Contábil,2656.5,2026,01,K7,153,19
1,6,Assessoria Contábil,2431.5,2026,01,D9,82,11
2,6,Assessoria Contábil,2278,2026,01,L0,155,5
1,6,Assessoria Contábil,2277,2026,01,A0,1,1
1,6,Assessoria Contábil,2277,2026,01,K4,150,4
1,6,Assessoria Contábil,1811.07,2026,01,I7,43,1
1,6,Assessoria Contábil,1728,2026,01,J0,116,21
1,6,Assessoria Contábil,1725,2026,01,E3,67,12
1,6,Assessoria Contábil,1663,2026,01,L4,158,13
1,6,Assessoria Contábil,1621,2026,01,A4,4,17
1,6,Assessoria Contábil,1621,2026,01,A9,10,1
1,6,Assessoria Contábil,1621,2026,01,F9,103,15
1,6,Assessoria Contábil,1621,2026,01,K3,149,17
1,6,Assessoria Contábil,1600,2026,01,I5,132,18
1,6,Assessoria Contábil,1580,2026,01,D6,79,11
2,6,Assessoria Contábil,1522,2026,01,E4,70,12
1,6,Assessoria Contábil,1518,2026,01,F8,102,15
1,6,Assessoria Contábil,1518,2026,01,H3,126,22
1,6,Assessoria Contábil,1518,2026,01,I3,130,16
1,6,Assessoria Contábil,1518,2026,01,K6,152,19
1,6,Assessoria Contábil,1518,2026,01,L1,156,12
1,6,Assessoria Contábil,1500,2026,01,I4,128,16
2,6,Assessoria Contábil,1489.25,2026,01,L2,157,12
1,6,Assessoria Contábil,1450,2026,01,F7,101,15
1,6,Assessoria Contábil,1380,2026,01,L9,189,9
1,6,Assessoria Contábil,1325.99,2026,01,F0,91,14
2,6,Assessoria Contábil,1303,2026,01,L7,160,20
1,6,Assessoria Contábil,1298.03,2026,01,E5,68,12
1,6,Assessoria Contábil,1250,2026,01,I2,129,16
1,6,Assessoria Contábil,1164.91,2026,01,C6,37,5
1,6,Assessoria Contábil,1135,2026,01,I0,119,20
1,6,Assessoria Contábil,1134,2026,01,H8,71,9
1,6,Assessoria Contábil,1128,2026,01,F1,92,14
1,6,Assessoria Contábil,1100,2026,01,E7,74,12
