QTD;ID_PLANO_CONTA;PLANO_CONTA;TOTAL_MES;ANO;MES;CODIGOSELO;IDCARTORIO;COMARCA
7;6;Assessoria Contábil;13583.51;2025;07;L4;158;13
5;6;Assessoria Contábil;12400;2025;12;H7;117;8
2;6;Assessoria Contábil;11718;2025;09;G2;106;17
10;6;Assessoria Contábil;10846.41;2025;06;L4;158;13
5;6;Assessoria Contábil;10314;2024;07;A0;1;1
2;6;Assessoria Contábil;10000;2025;10;H7;117;8
6;6;Assessoria Contábil;8285.03;2025;01;L4;158;13
2;6;Assessoria Contábil;7590;2025;12;K2;146;1
1;6;Assessoria Contábil;7200;2025;06;J2;138;23
2;6;Assessoria Contábil;7060;2024;12;K2;146;1
6;6;Assessoria Contábil;6583.61;2025;03;L4;158;13
6;6;Assessoria Contábil;6583.61;2025;02;L4;158;13
3;6;Assessoria Contábil;6400;2025;01;K1;145;5
2;6;Assessoria Contábil;6322;2025;12;K5;151;4
4;6;Assessoria Contábil;6300;2025;06;K1;145;5
3;6;Assessoria Contábil;6148;2024;12;K5;151;4
3;6;Assessoria Contábil;6100;2025;02;K1;145;5
2;6;Assessoria Contábil;6100;2025;08;K1;145;5
3;6;Assessoria Contábil;6100;2025;10;K1;145;5
4;6;Assessoria Contábil;6090;2024;11;K1;145;5
2;6;Assessoria Contábil;6072;2025;02;A1;6;1
2;6;Assessoria Contábil;6000;2025;01;D3;75;10
2;6;Assessoria Contábil;6000;2025;10;D3;75;10
2;6;Assessoria Contábil;6000;2025;03;D3;75;10
2;6;Assessoria Contábil;6000;2025;04;D3;75;10
2;6;Assessoria Contábil;6000;2025;06;D3;75;10
2;6;Assessoria Contábil;6000;2025;12;G8;110;19
3;6;Assessoria Contábil;5940;2024;02;A0;1;1
2;6;Assessoria Contábil;5928;2024;03;A1;6;1
2;6;Assessoria Contábil;5800;2024;12;K1;145;5
2;6;Assessoria Contábil;5800;2024;10;K1;145;5
2;6;Assessoria Contábil;5800;2025;06;H7;117;8
2;6;Assessoria Contábil;5680;2025;03;K1;145;5
2;6;Assessoria Contábil;5648;2024;12;A1;6;1
2;6;Assessoria Contábil;5648;2024;05;A1;6;1
2;6;Assessoria Contábil;5648;2024;08;A1;6;1
3;6;Assessoria Contábil;5616;2024;08;A0;1;1
1;6;Assessoria Contábil;5500;2024;06;C4;32;5
1;6;Assessoria Contábil;5500;2024;10;C4;32;5
1;6;Assessoria Contábil;5500;2024;04;C4;32;5
1;6;Assessoria Contábil;5500;2024;01;C4;32;5
1;6;Assessoria Contábil;5500;2024;03;C4;32;5
1;6;Assessoria Contábil;5500;2024;08;C4;32;5
